budget_code,description,approved_amount,zone_text,budget_type
2103000101,ساماندهی آبنماها و مرمت المان ها و نمادها,30070000000,01 منطقه يک,capital
21030002,اقدامات اصلاحی ناشی از ممیزی انرژی در تاسیسات و تجهیزات,5000000000,01 منطقه يک,capital
2103000201,اقدامات اصلاحی ناشی از ممیزی انرژی در تاسیسات و تجهیزات,5000000000,01 منطقه يک,capital
21030004,نصب پلاک‌های شهرداری و شماره‌گذاری معابر,5000000000,01 منطقه يک,capital
2103000401,نصب پلاک‌های شهرداری و شماره‌گذاری معابر,5000000000,01 منطقه يک,capital
2103000605,احداث شبکه روشنایی بوستان کودک,0,01 منطقه يک,capital
21030008,حذف گونه های گیاهی پرنیاز آب و جایگزینی با گونه های مناسب,10000000000,01 منطقه يک,capital
2103000801,حذف گونه های گیاهی پرنیاز آب و جایگزینی با گونه های مناسب,10000000000,01 منطقه يک,capital
21030009,نصب نقشه خطوط و برنامه زمانبندی اتوبوس ها,100000000,01 منطقه يک,capital
2103000901,نصب نقشه خطوط و برنامه زمانبندی اتوبوس ها,100000000,01 منطقه يک,capital
2103001004,تجهیز حسینیه‌ها جهت بهره‌برداری ورزشی تفریحی,12000000000,01 منطقه يک,capital
2103001502,نگهداری تاسیسات ساختمان های شهرداری,14100000000,01 منطقه يک,capital
2103001602,کف پوش پارک علی قلی آقا,1000000000,01 منطقه يک,capital
2103001603,تعویض مجموعه طنابی پارک کودک,2100000000,01 منطقه يک,capital
2103001604,احداث مجموعه بازی پارک شاداب,6900000000,01 منطقه يک,capital
2103001605,احداث مجموعه بازی پارک کودک,0,01 منطقه يک,capital
2103001606,احداث مجموعه بازی پارک فردوس,0,01 منطقه يک,capital
2103001607,احداث مجموعه بازی پارک زاینده رود,0,01 منطقه يک,capital
2103001608,خرید و نصب کف پوش پارک رحیم خان,0,01 منطقه يک,capital
2103001609,احداث مجموعه بازی پارک وحید,0,01 منطقه يک,capital
21030018,خرید پساب,0,01 منطقه يک,capital
2103001801,خرید پساب,0,01 منطقه يک,capital
21030019,حفر، لایروبی کف‌شکنی و تجهیز چاه فضای سبز,25300000000,01 منطقه يک,capital
2103001901,حفر، لایروبی کف‌شکنی و تجهیز چاه فضای سبز,25300000000,01 منطقه يک,capital
21030020,شبکه آبیاری و توزیع آب,37514000000,01 منطقه يک,capital
2103002001,شبکه آبیاری و توزیع آب,7900000000,01 منطقه يک,capital
2103002031,فیلتراسیون چاه جهاد,3000000000,01 منطقه يک,capital
2103002032,فیلتراسیون چاه سرلت,3000000000,01 منطقه يک,capital
21030021,ساماندهی پارک و قطعات فضای سبز,63310000000,01 منطقه يک,capital
2103002101,ساماندهی پارک و قطعات فضای سبز,44400000000,01 منطقه يک,capital
2103002103,ساماندهی پارک صائب,2300000000,01 منطقه يک,capital
2103002104,ساماندهی فضای سبز خیابان شمس آبادی,5400000000,01 منطقه يک,capital
2103002105,ساماندهی پارک میرزاهاشم,0,01 منطقه يک,capital
2103002106,ساماندهي پارك الزهرا,0,01 منطقه يک,capital
2103002107,ساماندهي پارك زاهد,0,01 منطقه يک,capital
2103002109,ساماندهي پارك فرخنده (کوچه 24 مسجد سید),0,01 منطقه يک,capital
2103002110,ساماندهی فضای سبز خيابان باب الرحمه,0,01 منطقه يک,capital
2103002111,ساماندهی فضای سبز خيابان شيخ بهايي حدفاصل چهارراه قصر تا خيابان جهاد,0,01 منطقه يک,capital
21030025,تعمیر و نگهداری معابر و ابنیه شهری,40700000000,01 منطقه يک,capital
2103002501,تعمیر و نگهداری معابر و ابنیه شهری,28300000000,01 منطقه يک,capital
21030027,مبلمان ایستگاه اتوبوس شهری,7250000000,01 منطقه يک,capital
2103002701,مبلمان ایستگاه اتوبوس شهری,7250000000,01 منطقه يک,capital
21030030,طرح‌های ترافیکی تابلوهای انتظامی، اطلاعاتی و راهنمای مسیر,12000000000,01 منطقه يک,capital
