budget_code,description,approved_amount,budget_type
2103000101,ساماندهی آبنماها و مرمت المان ها و نمادها,30070000000,capital
21030002,اقدامات اصلاحی ناشی از ممیزی انرژی در تاسیسات و تجهیزات,5000000000,capital
2103000201,اقدامات اصلاحی ناشی از ممیزی انرژی در تاسیسات و تجهیزات,5000000000,capital
21030004,نصب پلاکهای شهرداری و شمارهگذاری معابر,5000000000,capital
2103000401,نصب پلاکهای شهرداری و شمارهگذاری معابر,5000000000,capital
2103000605,احداث شبکه روشنایی بوستان کودک,0,capital
21030008,حذف گونه های گیاهی پرنیاز آب و جایگزینی با گونه های مناسب,10000000000,capital
2103000801,حذف گونه های گیاهی پرنیاز آب و جایگزینی با گونه های مناسب,10000000000,capital
21030009,نصب نقشه خطوط و برنامه زمانبندی اتوبوس ها,100000000,capital
2103000901,نصب نقشه خطوط و برنامه زمانبندی اتوبوس ها,100000000,capital
2103001004,تجهیز حسینیهها جهت بهرهبرداری ورزشی تفریحی,12000000000,capital
2103001502,نگهداری تاسیسات ساختمان های شهرداری,14100000000,capital
2103001602,کف پوش پارک علی قلی آقا,1000000000,capital
2103001603,تعویض مجموعه طنابی پارک کودک,2100000000,capital
2103001604,احداث مجموعه بازی پارک شاداب,6900000000,capital
2103001605,احداث مجموعه بازی پارک کودک,0,capital
2103001606,احداث مجموعه بازی پارک فردوس,0,capital
2103001607,احداث مجموعه بازی پارک زاینده رود,0,capital
2103001608,خرید و نصب کف پوش پارک رحیم خان,0,capital
2103001609,احداث مجموعه بازی پارک وحید,0,capital
21030018,خرید پساب,0,capital
2103001801,خرید پساب,0,capital
21030019,حفر، لایروبی کفشکنی و تجهیز چاه فضای سبز,25300000000,capital
2103001901,حفر، لایروبی کفشکنی و تجهیز چاه فضای سبز,25300000000,capital
21030020,شبکه آبیاری و توزیع آب,37514000000,capital
2103002001,شبکه آبیاری و توزیع آب,7900000000,capital
2103002031,فیلتراسیون چاه جهاد,3000000000,capital
2103002032,فیلتراسیون چاه سرلت,3000000000,capital
21030021,ساماندهی پارک و قطعات فضای سبز,63310000000,capital
2103002101,ساماندهی پارک و قطعات فضای سبز,44400000000,capital
2103002103,ساماندهی پارک صائب,2300000000,capital
2103002104,ساماندهی فضای سبز خیابان شمس آبادی,5400000000,capital
2103002105,ساماندهی پارک میرزاهاشم,0,capital
2103002106,ساماندهی پارک الزهرا,0,capital
2103002107,ساماندهی پارک زاهد,0,capital
2103002109,ساماندهی پارک فرخنده (کوچه 24 مسجد سید),0,capital
2103002110,ساماندهی فضای سبز خیابان باب الرحمه,0,capital
2103002111,ساماندهی فضای سبز خیابان شیخ بهایی حدفاصل چهارراه قصر تا خیابان جهاد,0,capital
21030025,تعمیر و نگهداری معابر و ابنیه شهری,40700000000,capital
2103002501,تعمیر و نگهداری معابر و ابنیه شهری,28300000000,capital
21030027,مبلمان ایستگاه اتوبوس شهری,7250000000,capital
2103002701,مبلمان ایستگاه اتوبوس شهری,7250000000,capital
21030030,طرحهای ترافیکی تابلوهای انتظامی، اطلاعاتی و راهنمای مسیر,12000000000,capital
2103003001,طرحهای ترافیکی تابلوهای انتظامی، اطلاعاتی و راهنمای مسیر,12000000000,capital
21030031,نوسازی سازه های فرسوده راهنمای مسیر,0,capital
2103003101,نوسازی سازه های فرسوده راهنمای مسیر,0,capital
21030032,هوشمندسازی تقاطع ها,7230000000,capital
2103003201,هوشمندسازی تقاطع ها,7230000000,capital
21030033,نصب چراغ راهنمایی ترافیکی سطح منطقه,3200000000,capital
2103003301,نصب چراغ راهنمایی ترافیکی سطح منطقه,3200000000,capital
21030035,بند 14 و ماده 110 قانون شهرداری,8000000000,capital
2103003501,بند 14 و ماده 110 قانون شهرداری,8000000000,capital
21030036,حفر و تنقیه چاههای آب باران,8150000000,capital
2103003601,حفر و تنقیه چاههای آب باران,8150000000,capital
21030037,احداث آبراهه و کانیو,4200000000,capital
2103003701,احداث آبراهه و کانیو,4200000000,capital
21030039,واکاری درختان,5000000000,capital
2103003901,واکاری درختان,5000000000,capital
21030043,تهیه و نصب پلاک پستی_x000D_,15000000000,capital
2103004301,تهیه و نصب پلاک پستی,15000000000,capital
21030103,نصب نیوجرسی بزرگراه شهید خرازی,0,capital
2103010301,نصب نیوجرسی بزرگراه شهید خرازی,0,capital
21030104,احداث فضای شهری (فرهنگی) مجاور خانه شهید بهشتی,0,capital
2103010401,احداث فضای شهری (فرهنگی) مجاور خانه شهید بهشتی,0,capital
21030105,احداث پل صاحب الروضات,220000000000,capital
2103010501,احداث پل صاحب الروضات,220000000000,capital
21030110,اصلاح زیرسازی ایستگاه های مسیر اتوبوس تندرو در خیابان مسجد سید,30000000000,capital
2103011001,اصلاح زیرسازی ایستگاه های مسیر اتوبوس تندرو در خیابان مسجد سید,30000000000,capital
21030111,تکمیل خیابان صاحب روضات,0,capital
2103011101,تکمیل خیابان صاحب روضات,0,capital
21030153,احداث پارک محلی شاداب,20000000000,capital
2103015301,احداث پارک محلی شاداب,20000000000,capital
2103024602,احداث پل ارتباطی کوچه ویلا و خیابان صائب (جنب شهرداری منطقه 1),0,capital
2103024603,پیاده رو سازی حاشیه زاینده رود حد فاصل پل مارنان تا پل فلزی,73000000000,capital
2103024607,تعمیرات و ساماندهی ساختمان اداری و مهمانسرای شهرداری,16000000000,capital
2103024610,تکمیل روشنایی چهارباغ عباسی,0,capital
2103024612,احداث چاه جذبی و کانال دفع آبهای سطحی و کانیو معابر فرعی سطح منطقه,20000000000,capital
2103024614,بهسازی پل های عابر پیاده مکانیزه,0,capital
2103024617,تعمیرات حمام علی قلی آقا,20000000000,capital
2103024619,ممیزی املاک منطقه,20000000000,capital
2103024623,مرمت خیابان چهارباغ عباسی مقابل ایستگاه قطار شهری(حدفاصل خیابان کوالالامپور تا مادی نیاصرم),0,capital
2103024624,احداث نماد شهدای گمنام,0,capital
2103024625,نرده گذاری اطراف مادی ها و رفع خطر موارد ایمنی در سطح منطقه,8000000000,capital
2103024627,زیرگذر عابر پیاده در زیر پل آذر(اتصال پیاده رو در دو طرف پل ),0,capital
2103024628,سرویس بهداشتی پیش ساخته بتنی جنب مادی نیاصرم و چهاراه تختی,0,capital
2103024630,باززنده سازی سردهانه مادی نیاصرم (چهار باغ عباسی),0,capital
2103024631,اجرای دیوار سبز در ساختمان خدمات شهری و شهرداری منطقه,0,capital
2103024632,خرید گلدان شهری (فلاوربلاکس) و المان گل,0,capital
2103024633,مرمت اضطراری پل مارنان,0,capital
2103024634,بازسازی حمام تاریخی حاج کاظم,10000000,capital
2103024635,خرید و نصب دیزل ژنراتور ساختمان خدمات شهری منطقه,0,capital
2103024636,خرید (تعویض) ایستگاههای سیار بازیافت-خیابان میرداماد، آذر، فروغی,0,capital
2103024643,تملک و بازگشایی گلوگاه های ترافیکی محلات سطح منطقه,0,capital
2103024645,بازسازی و تعمیرات اساسی فرهنگسرای پرسش,15000000000,capital
2103024646,پیاده روسازی پیرامون ساختمان ارگ جهان نما,0,capital
2103024647,پیاده روسازی خیابان آتش(مقداد),0,capital
2103024651,احداث سرویس بهداشتی ساختمان معاونت برنامه ریزی,0,capital
2103024652,تملک و بازگشایی گلوگاه های بافت محلات سطح منطقه,294000000000,capital
2103024653,احداث جایگاه شارژ خودرو برقی,0,capital
2103024657,احداث محوطه چند منظوره خیابان آیت اله شمس آبادی,15000000000,capital
2103024658,احداث گلخانه منطقه,30000000000,capital
2103024702,تملک و بازگشایی گلوگاه های بافت در محور محله جامی,90000000000,capital
2103024703,تملک و بازگشائی گلوگاههای بافت محله علیقلی آقا,0,capital
2103024704,پیاده روسازی خیابان بیدآبادی از مسجدسید تا جامی,0,capital
2103024705,اصلاح و بازسازی سنگ فرش اطراف و زیر بازارچه علیقلی آقا,0,capital
2103024706,جدولگذاری خیابان مسجد سید حدفاصل پنج رمضان تا آیت اله کاشانی,3000000000,capital
2103024707,بهسازی پیاده روهای ورودی گذرهای خیابان فروغی,7000000000,capital
2103024708,مبلمان ویژه پاتوق پنج رمضان,0,capital
2103024709,جدولگذاری ضلع جنوبی خیابان فروغی (حدفاصل میدان جمهوری تا خ 5رمضان),4000000000,capital
2103024711,بهسازی پیاده رو خیابان خرم(حدفاصل میدان جمهوری اسلامی تا سه راه صمدیه),8000000000,capital
2103024712,روکش اسفالت سطح محله علیقلی آقا,0,capital
2103024713,پیاده رو سازی ضلع شمال خیابان مسجد سید حد فاصل پنج رمضان تا آیت اله کاشانی,18000000000,capital
2103024714,ساماندهی نهر خیابان بیدآبادی (فدن)(محله علیقلی آقا),0,capital
2103024715,ساماندهی مادی تیران ( با تاکید بر افزایش نفوذپذیری بستر),15000000000,capital
2103024716,ساماندهی مادی جوی شاه کوچه شاداب (محله لنبان) -( با تاکید بر افزایش نفوذپذیری بستر),0,capital
2103024717,ساماندهی مادی امامی (محله علیقلی آقا)-( با تاکید بر افزایش نفوذپذیری بستر),0,capital
2103024719,ساماندهی نهر کوی شهید فولادگر ( با تاکید بر افزایش نفوذپذیری بستر),3000000000,capital
2103024720,ساماندهی سقاخانه بازارچه علیقلی آقا,0,capital
2103024721,ساماندهی نهر و پلهای کوی شماره 15خیابان خرم ( با تاکید بر افزایش نفوذپذیری بستر),10000000000,capital
2103024722,احداث محوطه چند منظوره خیابان خرم,4000000000,capital
2103024724,ارتقا کیفی بوستان علیقلی آقا(محله علیقلی آقا),0,capital
2103024726,تملک و احداث جلوخان مسجد لنبان,10000000,capital
2103024728,احداث چاه جذبی و کانال دفع آبهای سطحی و کانیو معابر سطح محله علیقلی آقا,0,capital
2103024729,تکمیل مبلمان شهری محور گردشگری علیقلی آقا(محله علیقلی آقا),0,capital
2103024730,ساماندهی مادی کوی الوار(تیران) از خیابان جامی شرقی تا خیابان فروغی(محله جامی),0,capital
2103024731,بهسازی پیاده روهای محور خیابان جامی شرقی (محله جامی),0,capital
2103024736,احداث چاه جذبی و کانال دفع آبهای سطحی و کانیو معابر سطح محله خرم,2000000000,capital
2103024737,تملک و بازگشایی گلوگاه های محله خرم,35000000000,capital
2103024738,بهسازی پیاده رو خیابان میرداماد (حدفاصل خیابان آیت اله کاشانی تا آیت اله زاهد),6000000000,capital
2103024739,جدولگذاری ضلع جنوبی خیابان مسجد سید (حدفاصل چهارراه هفتم محرم تا خ آیت اله زاهد),4000000000,capital
2103024744,احداث چاه جذبی و کانال دفع آبهای سطحی و کانیو معابر سطح محله بید آباد,2000000000,capital
2103024745,تملک و بازگشایی گلوگاه های محله بیدآباد,30000000000,capital
21040101,مشارکت در تملک یا احداث طرح چشمه های نورانی,0,capital
2104010102,احداث فانوس نورانی بوستان کودک، جنب کانون پرورش فکری کودکان,0,capital
22010001,خرید ماشین آلات و وسایل نقلیه,9500000000,capital
2201000101,خرید ماشین آلات و وسایل نقلیه,9500000000,capital
22020002,تجهیزات اداری,2790000000,capital
2202000201,تجهیزات اداری,2790000000,capital
